date,year,type,country,state,location,activity,sex,age,fatal_y/n,time,sex_clean,activity_clean,hour,time_period
10-Aug-2015,2015,Provoked,UNITED STATES,California,Cortes Bank,Spearfishing,M,57.0,N,08:00,Male,Spearfishing,8.0,Morning
31-Jul-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,M,52.0,N,06:00,Male,Surfing,6.0,Morning
28-Jul-2015,2015,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,47.0,N,nan,Male,Surfing,,
27-Jul-2015,2015,Unknown,AUSTRALIA,Victoria,Tyrendarra Beach,Surfing,M,40.0,Unknown,nan,Male,Surfing,,
26-Jul-2015,2015,Unprovoked,UNITED STATES,Florida,"Daytona Beach, Volusia County",Surfing,M,25.0,N,19:00,Male,Surfing,19.0,Evening
26-Jul-2015,2015,Invalid,UNITED STATES,South Carolina,"Edisto Beach, Colleton County",Floating,F,35.0,Unknown,10:10,Female,Swimming,10.0,Morning
25-Jul-2015,2015,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,M,46.0,Y,10:00,Male,Diving,10.0,Morning
23-Jul-2015,2015,Provoked,UNITED STATES,California,"La Jolla, San Diego County",Kayak Fishing,M,31.0,N,nan,Male,Fishing,,
23-Jul-2015,2015,Unprovoked,AUSTRALIA,Victoria,Tyrendarra Beach Near Portland,Surfing,M,40.0,N,nan,Male,Surfing,,
22-Jul-2015,2015,Unprovoked,REUNION,,St. Leu,Surfing,M,45.0,N,nan,Male,Surfing,,
19-Jul-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey'S Bay,Surfing,M,34.0,N,nan,Male,Surfing,,
10-Jul-2015,2015,Unprovoked,UNITED STATES,California,"Huntington Beach, Orange County",Surfing,M,38.0,N,08:45,Male,Surfing,8.0,Morning
08-Jul-2015,2015,Invalid,UNITED STATES,California,"Huntington Beach, Orange County",Treading water,M,39.0,Unknown,nan,Male,Swimming,,
06-Jul-2015,2015,Invalid,FRENCH POLYNESIA,Bora Bora,,Swimming,M,,Unknown,nan,Male,Swimming,,
04-Jul-2015,2015,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,F,23.0,N,nan,Female,Spearfishing,,
04-Jul-2015,2015,Unprovoked,UNITED STATES,North Carolina,"Off Surf City, Pender County",Unknown,M,32.0,N,Evening,Male,Unknown,,
03-Jul-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,52.0,N,09:00,Male,Surfing,9.0,Morning
02-Jul-2015,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Body boarding ,M,32.0,N,09:00,Male,Surfing,9.0,Morning
01-Jul-2015,2015,Unprovoked,UNITED STATES,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,68.0,N,12:10,Male,Swimming,12.0,Afternoon
30-Jun-2015,2015,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,M,,N,nan,Male,Surfing,,
30-Jun-2015,2015,Unprovoked,UNITED STATES,South Carolina,"Isle Of Palms County Park, Isle Of Palms, Charleston County",Playing in the water,M,12.0,N,18:05,Male,Other,18.0,Evening
27-Jun-2015,2015,Unprovoked,UNITED STATES,North Carolina,"Rodanthe, Dare County",Swimming,M,18.0,N,16:00,Male,Swimming,16.0,Afternoon
27-Jun-2015,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay Near Knysna,Body Boarding,M,19.0,N,14:40,Male,Surfing,14.0,Afternoon
26-Jun-2015,2015,Invalid,UNITED STATES,Florida,"Jacksonville Beach, Duval County",Swimming,F,,Unknown,19:30,Female,Swimming,19.0,Evening
26-Jun-2015,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,23.0,N,16:00,Male,Surfing,16.0,Afternoon
26-Jun-2015,2015,Unprovoked,UNITED STATES,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,M,43.0,N,11:00,Male,Other,11.0,Morning
Reported 25-Jun-2015,2015,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,19.0,N,nan,Male,Swimming,,
25-Jun-2015,2015,Unprovoked,UNITED STATES,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,47.0,N,11:41,Male,Surfing,11.0,Morning
24-Jun-2015,2015,Unprovoked,UNITED STATES,North Carolina,Surf City,Swimming,M,6.0,N,12:25,Male,Swimming,12.0,Afternoon
24-Jun-2015,2015,Invalid,AUSTRALIA,Western Australia,Denmark,Surfing,F,37.0,N,09:30,Female,Surfing,9.0,Morning
23-Jun-2015,2015,Unprovoked,UNITED STATES,South Carolina,"St. Helena Island, Beaufort County",Standing,M,9.0,N,nan,Male,Other,,
19-Jun-2015,2015,Unprovoked,PUERTO RICO,,Off Cabo Rojo,Spearfishing,M,36.0,N,Morning,Male,Spearfishing,,
17-Jun-2015,2015,Unprovoked,UNITED STATES,Florida,Daytona Beach Shores,Swimming,M,10.0,N,13:00,Male,Swimming,13.0,Afternoon
14-Jun-2015,2015,Unprovoked,UNITED STATES,North Carolina,"Oak Island, Brunswick County",Wading,M,16.0,N,17:51,Male,Swimming,17.0,Evening
14-Jun-2015,2015,Unprovoked,UNITED STATES,North Carolina,"Oak Island, Brunswick County",Wading,F,12.0,N,16:12,Female,Swimming,16.0,Afternoon
13-Jun-2015,2015,Unprovoked,UNITED STATES,California,Off San Diego,Unknown,F,,N,nan,Female,Unknown,,
11-Jun-2015,2015,Unprovoked,UNITED STATES,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,F,13.0,N,12:45,Female,Surfing,12.0,Afternoon
07-Jun-2015,2015,Unprovoked,UNITED STATES,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Playing,M,11.0,N,10:50,Male,Other,10.0,Morning
05-Jun-2015,2015,Unprovoked,UNITED STATES,Florida,Fort Lauderdale,Attempting to rescue a shark,F,17.0,N,nan,Female,Other,,
01-Jun-2015,2015,Unprovoked,REUNION,Le Port,Folette,Surfing,M,47.0,N,15:00,Male,Surfing,15.0,Afternoon
29-May-2015,2015,Unprovoked,UNITED STATES,Florida,"Cocoa Beach, Brevard County",Standing,F,14.0,N,15:00,Female,Other,15.0,Afternoon
29-May-2015,2015,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Wading,F,19.0,N,13:45,Female,Swimming,13.0,Afternoon
25-May-2015,2015,Unprovoked,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,Spearfishing,M,19.0,N,08:00,Male,Spearfishing,8.0,Morning
24-May-2015,2015,Unprovoked,UNITED STATES,Florida,"Cocoa Beach, Brevard County",Swimming,F,13.0,N,nan,Female,Swimming,,
20-May2015,2015,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18.0,N,10:30,Male,Surfing,10.0,Morning
15-May-2015,2015,Unprovoked,UNITED STATES,South Carolina,Sullivan'S Island,Unknown,M,30.0,N,14:15,Male,Unknown,14.0,Afternoon
09-May-2015,2015,Unprovoked,NEW CALEDONIA,,Kouare,Snorkeling,M,50.0,Y,nan,Male,Snorkeling,,
07-May-2015,2015,Unprovoked,UNITED STATES,Florida,"Cocoa Beach, Brevard County",Swimming,M,,N,15:00,Male,Swimming,15.0,Afternoon
03-May-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,,N,15:00,Male,Surfing,15.0,Afternoon
02-May-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John'S,Diving,M,29.0,N,13:00,Male,Diving,13.0,Afternoon
29-Apr-2015,2015,Unprovoked,UNITED STATES,Hawaii,Kanahena Cove,Snorkeling,F,65.0,Y,09:00,Female,Snorkeling,9.0,Morning
26-Apr-2015,2015,Unprovoked,UNITED STATES,Florida,"Resident'S Beach, Marco Island",Wading,M,63.0,N,16:30,Male,Swimming,16.0,Afternoon
25-Apr-2015,2015,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,26.0,N,09:45,Male,Surfing,9.0,Morning
24-Jun-2015,2015,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,M,71.0,N,11:00,Male,Surfing,11.0,Morning
13-Apr-2015,2015,Unprovoked,UNITED STATES,Florida,"Florida Keys, Monroe County",Photographing the shark,M,48.0,N,nan,Male,Other,,
12-Apr-2015,2015,Unprovoked,REUNION,Saint-Gilles-Les-Bains,Cap Homard,Surfing,M,13.0,Y,09:00,Male,Surfing,9.0,Morning
11-Apr-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Mckenzies Beach,Paddle boarding,M,,N,07:30,Male,Surfing,7.0,Morning
03-Apr-2015,2015,Unprovoked,UNITED STATES,Florida,"Off Jupiter, Palm Beach County",Spearfishing,M,70.0,N,Afternoon,Male,Spearfishing,,
29-Mar-2015,2015,Invalid,ITALY,Sardinia,,Diving,M,43.0,Unknown,nan,Male,Diving,,
31-Mar-2015,2015,Invalid,BRAZIL,Pernambuco,"Praia Del Chifre, Olinda",Surfing,M,23.0,Unknown,11:00,Male,Surfing,11.0,Morning
26-Mar-2015,2015,Watercraft,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Kayak Fishing,M,36.0,N,nan,Male,Fishing,,
21-Mar-2015,2015,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Alam,Swimming,M,52.0,Y,nan,Male,Swimming,,
18-Mar-2015,2015,Unprovoked,UNITED STATES,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58.0,N,11:45,Male,Snorkeling,11.0,Morning
16-Mar-2015,2015,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau,Hand feeding sharks,M,9.0,N,10:00,Male,Other,10.0,Morning
11-Mar-2015,2015,Watercraft,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,,N,Morning,Male,Fishing,,
10-Mar-2015,2015,Provoked,MEXICO,Sinaloa,Mazlatan,Fishing,M,36.0,N,10:20,Male,Fishing,10.0,Morning
07-Mar-2015,2015,Unprovoked,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,M,,N,nan,Male,Other,,
15-Feb-2015,2015,Watercraft,ATLANTIC OCEAN,,,Transatlantic Rowing,Unknown,,N,nan,Unknown,Other,,
14-Feb-2015,2015,Unprovoked,REUNION,D’Étang-Salé,Ravine Mula,Swimming,F,22.0,Y,18:30,Female,Swimming,18.0,Evening
09-Feb-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,41.0,Y,10:00,Male,Surfing,10.0,Morning
08-Feb-2015,2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35.0,N,06:45,Male,Surfing,6.0,Morning
05-Feb-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Bodysurfing,M,,N,nan,Male,Surfing,,
30-Jan-2015,2015,Watercraft,AUSTRALIA,Queensland,"Nerang River, Surfer'S Paradise",Rowing,M,57.0,N,05:00,Male,Other,5.0,Morning
27-Jan-2015,2015,Provoked,UNITED STATES,Hawaii,Lahaina,Shark fishing,M,20.0,N,03:30,Male,Fishing,3.0,Night
24-Jan-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,,N,nan,Male,Surfing,,
23-Jan-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,Floating,M,24.0,N,Afternoon,Male,Swimming,,
19-Jan-2015,2015,Watercraft,UNITED STATES,Florida,Off Panama City,Fishing,M,,N,nan,Male,Fishing,,
19-Jan-2015,2015,Invalid,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing & filming dolphins,F,,Unknown,nan,Female,Surfing,,
17-Jan-2015,2015,Watercraft,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,,N,13:45,Male,Fishing,13.0,Afternoon
16-Jan-2015,2015,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17.0,N,nan,Male,Other,,
08-Jan-2015,2015,Invalid,UNITED STATES,Florida,,Swimming after falling overboard,M,38.0,Unknown,Night,Male,Swimming,,
06-Jan-2015,2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34.0,N,16:00,Female,Snorkeling,16.0,Afternoon
03-Jan-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,15.0,N,08:00,Male,Surfing,8.0,Morning
01-Jan-2015,2015,Unprovoked,UNITED STATES,Florida,"Windsor Beach, Indian River County",Unknown,M,12.0,N,Afternoon,Male,Unknown,,
29-Dec-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,Unknown,,N,Morning,Unknown,Surfing,,
29-Dec-2014,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes Near Cheynes Beach,Spearfishing,M,17.0,Y,Morning,Male,Spearfishing,,
28-Dec-2014,2014,Sea Disaster,GREECE,,Nautical Miles Off Othonoi Island,Unknown,Unknown,,N,nan,Unknown,Unknown,,
28-Dec-2014,2014,Invalid,SOUTH AFRICA,Kwazulu-Natal,Durban,Swimming,Unknown,,Unknown,Morning,Unknown,Swimming,,
28-Dec-2014,2014,Unprovoked,UNITED STATES,California,"Montaña De Oro State Park, San Luis Obispo County",Surfing,M,50.0,N,11:30,Male,Surfing,11.0,Morning
28-Dec-2014,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,40.0,N,Morning,Male,Fishing,,
Reported 23-Dec-2014,2014,Unprovoked,JAPAN,,,Diving / Filming,M,,N,nan,Male,Diving,,
15-Dec-2014,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Spearfishing,M,17.0,Y,11:30,Male,Spearfishing,11.0,Morning
Reported 03-Dec-2014,2014,Provoked,SPAIN,Granada,Off Motril,Fishing for blue sharks,M,,N,07:00,Male,Fishing,7.0,Morning
29-Nov-2014,2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13.0,N,Sometime between 06:00 & 08:00oo,Male,Surfing,6.0,Morning
20-Nov-2014,2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),,Fishing,M,39.0,Y,nan,Male,Fishing,,
19-Nov-2014,2014,Watercraft,AUSTRALIA,Western Australia,Freo,Fishing,M,,N,nan,Male,Fishing,,
Reported 17-Nov-2014,2014,Watercraft,UNITED STATES,California,"Franklin Point, San Mateo County",Unknown,Unknown,,N,nan,Unknown,Unknown,,
16-Nov-2014,2014,Unprovoked,UNITED STATES,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44.0,N,13:00,Male,Surfing,13.0,Afternoon
13-Nov-2014,2014,Unprovoked,UNITED STATES,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,53.0,N,13:30,Male,Snorkeling,13.0,Afternoon
10-Nov-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,,N,06:30,Male,Surfing,6.0,Morning
08-Nov-2014,2014,Unprovoked,UNITED STATES,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18.0,N,16:30,Male,Surfing,16.0,Afternoon
31-Oct-2014,2014,Unprovoked,UNITED STATES,Hawaii,"North Kohala, Hawaii County",Surfing,F,34.0,N,11:00,Female,Surfing,11.0,Morning
29-Oct-2014,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,20.0,N,18:00,Male,Surfing,18.0,Evening
22-Oct-2014,2014,Unprovoked,UNITED STATES,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,,N,10:00,Female,Surfing,10.0,Morning
20-Oct-2014,2014,Unprovoked,UNITED STATES,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,,N,08:00,Male,Surfing,8.0,Morning
19-Oct-2014,2014,Watercraft,UNITED STATES,California,"Leadbetter Beach, Santa Barbara County",Canoeing,F,,N,nan,Female,Other,,
17-Oct-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,13.0,N,06:30,Female,Surfing,6.0,Morning
14-Oct-2014,2014,Unprovoked,UNITED STATES,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7.0,N,nan,Female,Other,,
12-Oct-2014,2014,Unprovoked,UNITED STATES,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,,N,15:30,Female,Surfing,15.0,Afternoon
11-Oct-2014,2014,Watercraft,AUSTRALIA,Western Australia,"Castle Rock, North Of Dunsborough",Kayaking,M,,N,17:20,Male,Other,17.0,Evening
05-Oct-2014,2014,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29.0,N,11:30,Male,Surfing,11.0,Morning
07-Oct-2014,2014,Unprovoked,UNITED STATES,Florida,"Cherie Down Park, Brevard County",Fishing,F,40.0,N,Afternoon,Female,Fishing,,
05-Oct-2014,2014,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15.0,N,11:00,Male,Surfing,11.0,Morning
03-Oct-2014,2014,Watercraft,UNITED STATES,California,Santa Barbara County,Kayaking,M,,N,14:00,Male,Other,14.0,Afternoon
03-Oct-2014,2014,Watercraft,UNITED STATES,California,Santa Barbara County,Kayaking ,M,,N,11:30,Male,Other,11.0,Morning
02-Oct-2014,2014,Unprovoked,UNITED STATES,California,"Walls Beach, Vandenberg Afb, Santa Barbara County",Surfing,M,28.0,N,17:30,Male,Surfing,17.0,Evening
02-Oct-2014,2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23.0,N,11:00,Male,Surfing,11.0,Morning
21-Sep-2014,2014,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,N,11:30,Male,Surfing,11.0,Morning
Reported 12-Sep-2014,2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding fish,F,36.0,N,nan,Female,Fishing,,
13-Sep-2014,2014,Invalid,UNITED STATES,California,"Manresa State Beach, Santa Cruz County",Surfing,M,,Unknown,18:45,Male,Surfing,18.0,Evening
09-Sep-2014,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,50.0,Y,10:45,Male,Swimming,10.0,Morning
06-Sep-2014,2014,Unprovoked,UNITED STATES,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,M,43.0,N,13:00,Male,Fishing,13.0,Afternoon
03-Sep-2014,2014,Watercraft,UNITED STATES,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,F,20.0,N,18:00,Female,Other,18.0,Evening
02-Sep-2014,2014,Provoked,UNITED STATES,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,52.0,N,20:00,Male,Fishing,20.0,Evening
Sep-2014,2014,Unprovoked,SPAIN,Catalonia,Salou,Playing with an air mattress,M,16.0,N,nan,Male,Other,,
31-Aug-2014,2014,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,13.0,N,16:40,Female,Surfing,16.0,Afternoon
29-Aug-2014,2014,Unprovoked,UNITED STATES,Florida,"Ponce Inlet, Volusia County",Surfing,M,17.0,N,nan,Male,Surfing,,
29-Aug-2014,2014,Invalid,UNITED STATES,Florida,"Atlantic Beach, Duval County",Unknown,Unknown,,Unknown,16:18,Unknown,Unknown,16.0,Afternoon
28-Aug-2014,2014,Provoked,UNITED STATES,Maryland,Assateague National Seashore,Fishing,M,33.0,N,nan,Male,Fishing,,
27-Aug-2014,2014,Unprovoked,SPAIN,Alicante,Benidorm,Swimming,F,30.0,N,nan,Female,Swimming,,
27-Aug-2014,2014,Unprovoked,UNITED STATES,North Carolina,"Figure Eight Island, New Hanover County",Surfing,M,29.0,N,nan,Male,Surfing,,
27-Aug-2014,2014,Unprovoked,UNITED STATES,South Carolina,"Surfside Beach, Horry County",Standing,F,,N,15:00,Female,Other,15.0,Afternoon
Reported 25-Aug-2014,2014,Provoked,UNITED STATES,Florida,Apalachicola Bay,Fishing for sharks,M,,N,nan,Male,Fishing,,
24-Aug-2014,2014,Unprovoked,UNITED STATES,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,Unknown,,N,nan,Unknown,Surfing,,
16-Aug-2014,2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,M,31.0,N,nan,Male,Spearfishing,,
12-Aug-2014,2014,Unprovoked,UNITED STATES,Florida,"To West Of Indian Pass, Gulf County",Standing,M,,N,11:10,Male,Other,11.0,Morning
10-Aug-2014,2014,Unprovoked,UNITED STATES,Florida,"Hallandale Beach, Broward County",Unknown,M,26.0,N,nan,Male,Unknown,,
09-Aug-2014,2014,Unprovoked,BAHAMAS,,,Spearfishing,M,,N,nan,Male,Spearfishing,,
09-Aug-2014,2014,Unprovoked,UNITED STATES,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Swimming,F,10.0,N,13:30,Female,Swimming,13.0,Afternoon
08-Aug-2014,2014,Unprovoked,UNITED STATES,Louisiana,"Lake Ponchartain Off Southshore Harbor, New Orleans",Swimming,M,7.0,N,Afternoon,Male,Swimming,,
06-Aug-2014,2014,Unprovoked,UNITED STATES,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,10.0,N,14:00,Male,Surfing,14.0,Afternoon
05-Aug-2014,2014,Unprovoked,UNITED STATES,Florida,"Cocoa Beach, Brevard County",Swimming,F,45.0,N,nan,Female,Swimming,,
02-Aug-2014,2014,Unprovoked,UNITED STATES,Florida,"South Of Cocoa Beach, Brevard County",Surfing,M,50.0,N,nan,Male,Surfing,,
02-Aug-2014,2014,Unprovoked,UNITED STATES,Florida,"Table Beach, Brevard County",Boogie boarding,M,8.0,N,13:00,Male,Surfing,13.0,Afternoon
01-Aug-2014,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,20.0,N,14:00,Male,Surfing,14.0,Afternoon
Aug-2014,2014,Invalid,UNKNOWN,,,Sea disaster,M,,Unknown,nan,Male,Other,,
27-Jul-2014,2014,Unprovoked,UNITED STATES,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,,N,nan,Male,Swimming,,
22-Jul-2014,2014,Unprovoked,REUNION,Saint-Leu,,Surfing,M,51.0,N,15:00,Male,Surfing,15.0,Afternoon
21-Jul-2014,2014,Unprovoked,UNITED STATES,Florida,"Indialantic, Brevard County",Standing,M,8.0,N,Early afternoon,Male,Other,,
20-Jul-2014,2014,Unprovoked,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,Unknown,,N,nan,Unknown,Swimming,,
16-Jul-2014,2014,Unprovoked,UNITED STATES,Hawaii,"Paia Bay, Maui",Swimming,M,61.0,N,17:50,Male,Swimming,17.0,Evening
14-Jul-2014,2014,Unprovoked,UNITED STATES,Florida,Okaloosa Island,Swimming,M,39.0,N,14:30,Male,Swimming,14.0,Afternoon
13-Jul-2014,2014,Invalid,BAHAMAS,West End,Tiger Beach,Shark diving,M,63.0,Unknown,Night,Male,Diving,,
12-Jul-2014,2014,Unprovoked,UNITED STATES,North Carolina,"Masonboro Island, New Hanover County",Body surfing,M,,N,nan,Male,Surfing,,
9-Jul-2014,2014,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14.0,N,14:00,Male,Surfing,14.0,Afternoon
5-Jul-2014,2014,Provoked,UNITED STATES,California,"Manhattan Beach, Los Angeles County",Swimming,M,,N,09:30,Male,Swimming,9.0,Morning
5-Jul-2014,2014,Unprovoked,UNITED STATES,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,,N,07:00 - 08:00,Male,Surfing,7.0,Morning
3-Jul-2014,2014,Unprovoked,UNITED STATES,South Carolina,"Isle Of Palms, Charleston County",Body surfing,M,19.0,N,18:15-18:30,Male,Surfing,18.0,Evening
Reported 27-Jun-2014,2014,Watercraft,ST MARTIN,,From Shore,Transatlantic Rowing,M,48.0,N,nan,Male,Other,,
25-Jun-2014,2014,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,M,42.0,N,13:00,Male,Spearfishing,13.0,Afternoon
18-Jun-2014,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,,N,17:01,Male,Surfing,17.0,Evening
18-Jun-2014,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,M,15.0,N,17:00,Male,Surfing,17.0,Evening
Reported 17-Jun-2014,2014,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Petting a shark,M,,N,nan,Male,Other,,
09-Jun-2014,2014,Unprovoked,BRAZIL,,Off The Coast Of Pernambuco,Fishing,M,43.0,N,nan,Male,Fishing,,
09-Jun-2014,2014,Unprovoked,UNITED STATES,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,16.0,N,17:00,Male,Other,17.0,Evening
09-Jun-2014,2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach, Fleurieu Peninsula",Body boarding,M,39.0,N,09:45,Male,Surfing,9.0,Morning
08-Jun-2014,2014,Unprovoked,JAPAN,Atsumi Peninsula,Aichi,Surfing,M,43.0,N,Afternoon,Male,Surfing,,
07-Jun-2014,2014,Unprovoked,UNITED STATES,Texas,"West Beach, Galveston",Kneeling in the water,F,14.0,N,Afternoon,Female,Other,,
01-Jun-2014,2014,Unprovoked,UNITED STATES,Florida,Fort Lauderdale,Swimming,F,22.0,N,13:30,Female,Swimming,13.0,Afternoon
01-Jun-2014,2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,,N,Morning,Male,Surfing,,
01-Jun-2014,2014,Unprovoked,UNITED STATES,Palmyra Atoll,,Tagging sharks,F,37.0,N,nan,Female,Other,,
24-May-2014,2014,Unprovoked,AUSTRALIA,Queensland,Nerang River Near Chevron Island,Fell into the water,F,29.0,N,nan,Female,Other,,
23-May-2014,2014,Unprovoked,FRANCE,Wallis And Futuna,Wallis Island,Scuba diving,M,,N,Morning,Male,Diving,,
22-May-2014,2014,Provoked,AUSTRALIA,New South Wales,The Australian Shark And Ray Centre,Teasing a shark,M,10.0,N,nan,Male,Other,,
15-May-2014,2014,Unprovoked,UNITED STATES,Florida,"Juan Ponce De León Landing, Melbourne Beach, Brevard County",Body boarding,F,38.0,N,11:30,Female,Surfing,11.0,Morning
14-May-2014,2014,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,M,35.0,N,09:30,Male,Surfing,9.0,Morning
13-May2014,2014,Unprovoked,UNITED STATES,Florida,"Jacksonville Beach, Duval County",Wading,F,44.0,N,11:00,Female,Swimming,11.0,Morning
11-May-2014,2014,Unprovoked,UNITED STATES,Georgia,"Tybee Island, Chatham County",Surfing,M,12.0,N,nan,Male,Surfing,,
Reported 10-May-2014,2014,Invalid,UNITED STATES,Florida,"Bethel Shoals, Indian River County",Diving,M,,Unknown,nan,Male,Diving,,
06-May-2014,2014,Unprovoked,UNITED STATES,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,40.0,N,15:00,Female,Swimming,15.0,Afternoon
04-May-2014,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Simonstown,Diving,Unknown,,N,nan,Unknown,Diving,,
01-May-2014,2014,Unprovoked,UNITED STATES,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23.0,N,15:00,Male,Surfing,15.0,Afternoon
