date,year,type,country,state,location,activity,sex,age,fatal_y/n,time,sex_clean,activity_clean,hour,time_period
27th September,2025,Provoked,COSTA RICA,,Cocos Islands,Diving-Tagging sharks,M,48.0,N,Not stated,Male,Diving,,
6th September,2025,Unprovoked,AUSTRALIA,New South Wales,Long Reef Sydney,Surfing,M,57.0,Y,09:30:00rs,Male,Surfing,9.0,Morning
1st September,2025,Unprovoked,UNITED STATES,Florida,Horseshoe Reef Key Largo,Snorkeling,M,8.0,N,15:24:00rs,Male,Snorkeling,15.0,Afternoon
30th August,2025,Unprovoked,UNITED STATES,Texas,Galveston,Swimming,F,8.0,N,Not stated,Female,Swimming,,
18th August,2025,Unprovoked,AUSTRALIA,New South Wales,Cabarita Beach,Surfing,M,,N,07:30:00rs,Male,Surfing,7.0,Morning
17th August,2025,Unprovoked,BAHAMAS,Atlantic Ocean Near Big Grand Cay,North Of Grand Bahama Near Freeport,Spearfishing,M,63.0,N,13:00:00rs,Male,Spearfishing,13.0,Afternoon
16th August,2025,Provoked,UNITED STATES,Florida,Cayo Costa Boca Grande,Fishing,M,,N,10:55 hrs,Male,Fishing,10.0,Morning
7th August,2025,Unprovoked,AUSTRALIA,New South Wales,Tathra Beach,Surfing,M,9.0,N,16:30:00rs,Male,Surfing,16.0,Afternoon
1st August,2025,Unprovoked,PUERTO RICO,Carolina,Carolina Beach,Wading,F,39.0,N,Not stated,Female,Swimming,,
28th July,2025,Unprovoked,AUSTRALIA,South Australia,Seacliff Beach Adelaide,Kayaking ,M,19.0,N,11:30:00rs,Male,Other,11.0,Morning
25th July,2025,Unprovoked,FRENCH POLYNESIA,Nuku Hiva,Taiohae Bay,Swimming,M,7.0,N,Not stated,Male,Swimming,,
22nd July,2025,Unprovoked,SPAIN,Majorca,Playa De Palma Beach,Swimming,F ,85.0,N,11:30:00rs,Female,Swimming,11.0,Morning
20th July,2025,Unprovoked,CANARY ISLANDS,Fuerteventura,Los Mollinas,Surfing (Hydrofoiling),M,,N,PM,Male,Surfing,,
19th July,2025,Unprovoked,UNITED STATES,Florida,Jupiter Inlet Off Jupiter Beach Palm Beach County,Diving,M,69.0,N,Not stated,Male,Diving,,
18th July,2025,Unprovoked,UNITED STATES,Florida,New Smyrna Beach,Surfing,M,18.0,N,11:50:00rs,Male,Surfing,11.0,Morning
15th July,2025,Unprovoked,BAHAMAS,Great Abaco Islands,Spanish Cay,Spearfishing,M,66.0,N,Not stated,Male,Spearfishing,,
6th July ,2025,Provoked,UNITED STATES,Massachusetts,Hoicks Hollow Nantucket Beach,Fishing,M,21.0,N,Not stated,Male,Fishing,,
6th July,2025,Unprovoked,UNITED STATES,Florida,New Smyrna Beach,Surfing,M,40.0,N,15:00:00rs,Male,Surfing,15.0,Afternoon
4th July,2025,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Mfazazana Hibberdene,Fishing,M,37.0,Y,PM,Male,Fishing,,
29th June,2025,Unprovoked,AUSTRALIA,New South Wales,Norries Headland Cabarita Beach,Swimming,M,16.0,N,16:00,Male,Swimming,16.0,Afternoon
25th June,2025,Unprovoked,UNITED STATES,Long Island Ny,Wantagh,Swimming,F,20.0,N,16:15 hrs,Female,Swimming,16.0,Afternoon
22nd June,2025,Unprovoked,UNITED STATES,South Carolina,Coligny Beach Hilton Head Island,Swimming,F,,N,12:10:00rs,Female,Swimming,12.0,Afternoon
17th June,2025,Unprovoked,UNITED STATES,South Carolina,Beach Marker Hilton Head Island,Swimming,F,12.0,N,12:00:00rs,Female,Swimming,12.0,Afternoon
11-Jun-25,2025,Unprovoked,UNITED STATES,Florida,Boca Grande,Snorkeling,F,9.0,N,12:11 hrs,Female,Snorkeling,12.0,Afternoon
31st May,2025,Unprovoked,UNITED STATES,California,Montara State Beach,Surfing,M,42.0,N,14:00:00rs,Male,Surfing,14.0,Afternoon
29-May-25,2025,Unprovoked,UNITED STATES,North Carolina,Sunset Beach,Swimming,M,26.0,N,11:00:00rs,Male,Swimming,11.0,Morning
26-May-25,2025,Unprovoked,VANUATU,South Santo,Espiitu Santo Island,Swimming,M,14.0,Y,pm,Male,Swimming,,
15-May-25,2025,Unprovoked,AUSTRALIA,South Australia,Port Noarlunga,Swimming,M,66.0,N,09:45:00rs,Male,Swimming,9.0,Morning
8-May-25,2025,Unprovoked,JAMAICA,Montego Bay,Rose Hall Beach,Paddling,F,26.0,N,Not stated,Female,Other,,
21-Apr-25,2025,Unprovoked,ISRAEL,Hadera,Olga Beach Near Hadera Stream,Diving,M,45.0,Y,15:00:00rs,Male,Diving,15.0,Afternoon
20-Apr-25,2025,Questionable,MEXICO,Quntana Roo,Chac Mool Beach Cancun,Rescuing female companion ,M,20.0,Y,Not stated,Male,Other,,
19-Apr-25,2025,Unprovoked,MALDIVES,Kulhudhuffushi City,Haa Dhaalu Atoll,snorkeling,M,30.0,N,Not stated,Male,Snorkeling,,
12-Apr-25,2025,Unprovoked,UNITED STATES,Florida,Everglades National Park Flamingo Lodge Highway West Miami-Dade (Monroe County),Undisclosed,M,,N,15:00:00rs,Male,Other,15.0,Afternoon
26-Mar-25,2025,Unprovoked,AUSTRALIA,Western Australia,Sandtrax Port Beach North Fremantle Perth,Swimming,M,30.0,N,14:30:00rs,Male,Swimming,14.0,Afternoon
10-Mar-25,2025,Unprovoked,AUSTRALIA,Western Australia,Duke Of Orleans Bay,Surfing,M,37.0,Y,12:10 hrs,Male,Surfing,12.0,Afternoon
7-Mar-25,2025,Unprovoked,AUSTRALIA,New South Wales,Gunyah Beach Bundeena Port Hacking,Swimming,F ,56.0,N,13:40:00rs,Female,Swimming,13.0,Afternoon
27-Feb-25,2025,Unprovoked,AUSTRALIA,Victoria,Nuns Beach Near Portland,Swimming,M,40.0,N,,Male,Swimming,,
27-Feb-25,2025,Questionable,PHILIPPINES,Batangas Resort,Verde Island,SCUBA Diving,M,29.0,Y,13:00:00rs,Male,Diving,13.0,Afternoon
22-Feb-25,2025,Unprovoked,AUSTRALIA,Western Australia,Blasck Wall Reach Swan River Perth,Kayaking,F,35.0,N,08:15:00rs,Female,Other,8.0,Morning
22-Feb-25,2025,Questionable,AUSTRALIA,New South Wales,Off Port Stephens Near Newcastle,Fishing was pulled of boat by shark,M,58.0,Y,13:00:00rs,Male,Fishing,13.0,Afternoon
22-Feb-25,2025,Unprovoked,AUSTRALIA,Queensland,The Wrecks Walking Track Moreton Island,Snorkeling,M,29.0,N,15:03:00rs,Male,Snorkeling,15.0,Afternoon
10-Feb-25,2025,Unprovoked,BAHAMAS,,Bimini Bay,Swimming,F,24.0,N,18:30:00rs,Female,Swimming,18.0,Evening
10-Feb-25,2025,Unprovoked,BAHAMAS,,Bimini Bay,Swimming,F,20.0,N,18:30:00rs,Female,Swimming,18.0,Evening
7-Feb-25,2025,Unprovoked,TURKS & CAICOS,Near Five Cays Settlement West Caicos,Thompson Cove Beach,Swimming,F,55.0,N,,Female,Swimming,,
3-Feb-25,2025,Unprovoked,AUSTRALIA,Queensland,"Woorim Beach, Bribie Island",Swimming,F,17.0,Y,16:45 hrs,Female,Swimming,16.0,Afternoon
23-Jan-25,2025,Unprovoked,AUSTRALIA,Western Australia,Shipwreck Cove,Bathing,M,12.0,N,17:11:00rs,Male,Swimming,17.0,Evening
22-Jan-25,2025,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,Surfing,M,37.0,N,16:00:00rs,Male,Surfing,16.0,Afternoon
3-Jan-25,2025,Unprovoked,MOZAMBIQUE,Inhambane Province,Vilankulo Bay,Spearfishing,M,36.0,Y,13:30:00rs,Male,Spearfishing,13.0,Afternoon
11-Jan-25,2025,Provoked,UNITED STATES,Hawaii,Off Haleiwa Boat Harbour Oahu,Diving,M,23.0,N,13:40:00rs,Male,Diving,13.0,Afternoon
